"STATION","NAME","DATE","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00135650","MONTEZUMA 1 W, IA US","2023-01-01","0.00",",,7,0700",,,,,,
"USC00135650","MONTEZUMA 1 W, IA US","2023-01-02","0.00",",,7,0700",,,,,,
"USC00135650","MONTEZUMA 1 W, IA US","2023-01-03","0.38",",,7,0700",,,,,,
"USC00135650","MONTEZUMA 1 W, IA US","2023-01-04","0.01",",,7,0700",,,,,,
"USC00135650","MONTEZUMA 1 W, IA US","2023-01-05","0.04",",,7,0700",,,,,,
"USC00135650","MONTEZUMA 1 W, IA US","2023-01-06","0.00",",,7,0700",,,,,,
"USC00135650","MONTEZUMA 1 W, IA US","2023-01-07","0.00",",,7,0700",,,,,,
"USC00135650","MONTEZUMA 1 W, IA US","2023-01-08","0.00",",,7,0700",,,,,,
"USC00135650","MONTEZUMA 1 W, IA US","2023-01-09","0.00",",,7,0700",,,,,,
"USC00135650","MONTEZUMA 1 W, IA US","2023-01-10","0.00",",,7,0700",,,,,,
"USC00135650","MONTEZUMA 1 W, IA US","2023-01-11","0.00",",,7,0700",,,,,,
"USC00135650","MONTEZUMA 1 W, IA US","2023-01-12","0.00",",,7,0700",,,,,,
"USC00135650","MONTEZUMA 1 W, IA US","2023-01-13","0.00",",,7,0700",,,,,,
"USC00135650","MONTEZUMA 1 W, IA US","2023-01-14","0.00",",,7,0700",,,,,,
"USC00135650","MONTEZUMA 1 W, IA US","2023-01-15","0.00",",,7,0700",,,,,,
"USC00135650","MONTEZUMA 1 W, IA US","2023-01-16","0.10",",,7,0700",,,,,,
"USC00135650","MONTEZUMA 1 W, IA US","2023-01-17","0.26",",,7,0700",,,,,,
"USC00135650","MONTEZUMA 1 W, IA US","2023-01-18","0.00",",,7,0700",,,,,,
"USC00135650","MONTEZUMA 1 W, IA US","2023-01-19","0.52",",,7,0700",,,,,,
"USC00135650","MONTEZUMA 1 W, IA US","2023-01-20","0.00",",,7,0700",,,,,,
"USC00135650","MONTEZUMA 1 W, IA US","2023-01-21","0.00",",,7,0700",,,,,,
"USC00135650","MONTEZUMA 1 W, IA US","2023-01-22","0.14",",,7,0700",,,,,,
"USC00135650","MONTEZUMA 1 W, IA US","2023-01-23","0.00",",,7,0700",,,,,,
"USC00135650","MONTEZUMA 1 W, IA US","2023-01-24","0.00",",,7,0700",,,,,,
"USC00135650","MONTEZUMA 1 W, IA US","2023-01-25","0.02",",,7,0700",,,,,,
"USC00135650","MONTEZUMA 1 W, IA US","2023-01-26","0.00","T,,7,0700",,,,,,
"USC00135650","MONTEZUMA 1 W, IA US","2023-01-27","0.00","T,,7,0700",,,,,,
"USC00135650","MONTEZUMA 1 W, IA US","2023-01-28","0.01",",,7,0700",,,,,,
"USC00135650","MONTEZUMA 1 W, IA US","2023-01-29","0.07",",,7,0700",,,,,,
"USC00135650","MONTEZUMA 1 W, IA US","2023-01-30","0.00",",,7,0700",,,,,,
"USC00135650","MONTEZUMA 1 W, IA US","2023-01-31","0.00",",,7,0700",,,,,,
"USC00135650","MONTEZUMA 1 W, IA US","2023-02-01","0.00",",,7,0700",,,,,,
"US1IAST0048","BETTENDORF 1.6 W, IA US","2023-01-01","0.01",",,N",,,,,,
"US1IAST0048","BETTENDORF 1.6 W, IA US","2023-01-02","0.00",",,N",,,,,,
"US1IAST0048","BETTENDORF 1.6 W, IA US","2023-01-03","0.68",",,N",,,,,,
"US1IAST0048","BETTENDORF 1.6 W, IA US","2023-01-04","0.02",",,N",,,,,,
"US1IAST0048","BETTENDORF 1.6 W, IA US","2023-01-05","0.06",",,N",,,,,,
"US1IAST0048","BETTENDORF 1.6 W, IA US","2023-01-06","0.01",",,N",,,,,,
"US1IAST0048","BETTENDORF 1.6 W, IA US","2023-01-07","0.00",",,N",,,,,,
"US1IAST0048","BETTENDORF 1.6 W, IA US","2023-01-08","0.00","T,,N",,,,,,
"US1IAST0048","BETTENDORF 1.6 W, IA US","2023-01-09","0.00","T,,N",,,,,,
"US1IAST0048","BETTENDORF 1.6 W, IA US","2023-01-10","0.00",",,N",,,,,,
"US1IAST0048","BETTENDORF 1.6 W, IA US","2023-01-11","0.00",",,N",,,,,,
"US1IAST0048","BETTENDORF 1.6 W, IA US","2023-01-12","0.00",",,N",,,,,,
"US1IAST0048","BETTENDORF 1.6 W, IA US","2023-01-13","0.00","T,,N",,,,,,
"US1IAST0048","BETTENDORF 1.6 W, IA US","2023-01-14","0.00",",,N",,,,,,
"US1IAST0048","BETTENDORF 1.6 W, IA US","2023-01-15","0.00",",,N",,,,,,
"US1IAST0048","BETTENDORF 1.6 W, IA US","2023-01-16","0.23",",,N",,,,,,
"US1IAST0048","BETTENDORF 1.6 W, IA US","2023-01-17","0.21",",,N",,,,,,
"US1IAST0048","BETTENDORF 1.6 W, IA US","2023-01-18","0.00",",,N",,,,,,
"US1IAST0048","BETTENDORF 1.6 W, IA US","2023-01-19","0.41",",,N",,,,,,
"US1IAST0048","BETTENDORF 1.6 W, IA US","2023-01-20","0.08",",,N",,,,,,
"US1IAST0048","BETTENDORF 1.6 W, IA US","2023-01-21","0.00",",,N",,,,,,
"US1IAST0048","BETTENDORF 1.6 W, IA US","2023-01-22","0.15",",,N",,,,,,
"US1IAST0048","BETTENDORF 1.6 W, IA US","2023-01-23","0.00","T,,N",,,,,,
"US1IAST0048","BETTENDORF 1.6 W, IA US","2023-01-24","0.00",",,N",,,,,,
"US1IAST0048","BETTENDORF 1.6 W, IA US","2023-01-25","0.21",",,N",,,,,,
"US1IAST0048","BETTENDORF 1.6 W, IA US","2023-01-26","0.09",",,N",,,,,,
"US1IAST0048","BETTENDORF 1.6 W, IA US","2023-01-27","0.00","T,,N",,,,,,
"US1IAST0048","BETTENDORF 1.6 W, IA US","2023-01-28","0.00","T,,N",,,,,,
"US1IAST0048","BETTENDORF 1.6 W, IA US","2023-01-29","0.09",",,N",,,,,,
"US1IAST0048","BETTENDORF 1.6 W, IA US","2023-01-30","0.00","T,,N",,,,,,
"US1IAST0048","BETTENDORF 1.6 W, IA US","2023-01-31","0.00",",,N",,,,,,
"US1IAST0048","BETTENDORF 1.6 W, IA US","2023-02-01","0.00",",,N",,,,,,
"USC00133473","GRINNELL 3 SW, IA US","2023-01-01","0.02",",,7,0700",,,"36",",,7","23",",,7"
"USC00133473","GRINNELL 3 SW, IA US","2023-01-02","0.00",",,7,0700",,,"41",",,7","27",",,7"
"USC00133473","GRINNELL 3 SW, IA US","2023-01-03","0.71",",,7,0700",,,"39",",,7","31",",,7"
"USC00133473","GRINNELL 3 SW, IA US","2023-01-04","0.03",",,7,0700",,,"43",",,7","28",",,7"
"USC00133473","GRINNELL 3 SW, IA US","2023-01-05","0.04",",,7,0700",,,"30",",,7","25",",,7"
"USC00133473","GRINNELL 3 SW, IA US","2023-01-06","0.00",",,7,0700",,,"29",",,7","12",",,7"
"USC00133473","GRINNELL 3 SW, IA US","2023-01-07","0.00",",,7,0700",,,"31",",,7","7",",,7"
"USC00133473","GRINNELL 3 SW, IA US","2023-01-08","0.00",",,7,0700",,,"22",",,7","8",",,7"
"USC00133473","GRINNELL 3 SW, IA US","2023-01-09","0.00",",,7,0700",,,"30",",,7","16",",,7"
"USC00133473","GRINNELL 3 SW, IA US","2023-01-10","0.00",",,7,0700",,,"49",",,7","21",",,7"
"USC00133473","GRINNELL 3 SW, IA US","2023-01-11","0.00",",,7,0700",,,"39",",,7","26",",,7"
"USC00133473","GRINNELL 3 SW, IA US","2023-01-12","0.00",",,7,0700",,,"43",",,7","26",",,7"
"USC00133473","GRINNELL 3 SW, IA US","2023-01-13","0.00",",,7,0700",,,"27",",,7","18",",,7"
"USC00133473","GRINNELL 3 SW, IA US","2023-01-14","0.00",",,7,0700",,,"23",",,7","11",",,7"
"USC00133473","GRINNELL 3 SW, IA US","2023-01-15","0.00",",,7,0700",,,"38",",,7","16",",,7"
"USC00133473","GRINNELL 3 SW, IA US","2023-01-16","0.11",",,7,0700",,,"43",",,7","31",",,7"
"USC00133473","GRINNELL 3 SW, IA US","2023-01-17","0.10",",,7,0700",,,"52",",,7","33",",,7"
"USC00133473","GRINNELL 3 SW, IA US","2023-01-18","0.00",",,7,0700",,,"35",",,7","30",",,7"
"USC00133473","GRINNELL 3 SW, IA US","2023-01-19","0.46",",,7,0700",,,"34",",,7","29",",,7"
"USC00133473","GRINNELL 3 SW, IA US","2023-01-20","0.00",",,7,0700",,,"32",",,7","26",",,7"
"USC00133473","GRINNELL 3 SW, IA US","2023-01-21","0.00",",,7,0700",,,"28",",,7","21",",,7"
"USC00133473","GRINNELL 3 SW, IA US","2023-01-22","0.11",",,7,0700",,,"29",",,7","20",",,7"
"USC00133473","GRINNELL 3 SW, IA US","2023-01-23","0.00",",,7,0700",,,"26",",,7","8",",,7"
"USC00133473","GRINNELL 3 SW, IA US","2023-01-24","0.00",",,7,0700",,,"30",",,7","8",",,7"
"USC00133473","GRINNELL 3 SW, IA US","2023-01-25","0.00","T,,7,0700",,,"35",",,7","15",",,7"
"USC00133473","GRINNELL 3 SW, IA US","2023-01-26","0.01",",,7,0700",,,"32",",,7","5",",,7"
"USC00133473","GRINNELL 3 SW, IA US","2023-01-27","0.00","T,,7,0700",,,"30",",,7","4",",,7"
"USC00133473","GRINNELL 3 SW, IA US","2023-01-28","0.02",",,7,0700",,,"36",",,7","14",",,7"
"USC00133473","GRINNELL 3 SW, IA US","2023-01-29","0.11",",,7,0700",,,"17",",,7","1",",,7"
"USC00133473","GRINNELL 3 SW, IA US","2023-01-30","0.00",",,7,0700",,,"8",",,7","2",",,7"
"USC00133473","GRINNELL 3 SW, IA US","2023-01-31","0.00",",,7,0700",,,"11",",,7","-9",",,7"
"USC00133473","GRINNELL 3 SW, IA US","2023-02-01","0.00",",,7,0700",,,"19",",,7","-3",",,7"
"US1IAST0042","RIVERDALE 0.5 N, IA US","2023-01-03",,,,,,,,
"US1IAST0042","RIVERDALE 0.5 N, IA US","2023-01-04","0.02",",,N",,,,,,
"US1IAST0042","RIVERDALE 0.5 N, IA US","2023-01-05","0.03",",,N",,,,,,
"US1IAST0042","RIVERDALE 0.5 N, IA US","2023-01-13","0.00","T,,N",,,,,,
"US1IAST0042","RIVERDALE 0.5 N, IA US","2023-01-17",,,,,,,,
"US1IAST0042","RIVERDALE 0.5 N, IA US","2023-01-19","0.56",",,N",,,,,,
"US1IAST0042","RIVERDALE 0.5 N, IA US","2023-01-20","0.07",",,N",,,,,,
"US1IAST0042","RIVERDALE 0.5 N, IA US","2023-01-22","0.13",",,N",,,,,,
"US1IAST0042","RIVERDALE 0.5 N, IA US","2023-01-25","0.18",",,N",,,,,,
"US1IAST0042","RIVERDALE 0.5 N, IA US","2023-01-26","0.08",",,N",,,,,,
"US1IAST0042","RIVERDALE 0.5 N, IA US","2023-01-27","0.00","T,,N",,,,,,
"US1IAST0042","RIVERDALE 0.5 N, IA US","2023-01-28","0.00","T,,N",,,,,,
"US1IAST0042","RIVERDALE 0.5 N, IA US","2023-01-29","0.09",",,N",,,,,,
"US1HIHI0057","NAALEHU 4.7 WSW, HI US","2023-01-01","0.22",",,N",,,,,,
"US1HIHI0057","NAALEHU 4.7 WSW, HI US","2023-01-02","0.03",",,N",,,,,,
"US1HIHI0057","NAALEHU 4.7 WSW, HI US","2023-01-03","0.00",",,N",,,,,,
"US1HIHI0057","NAALEHU 4.7 WSW, HI US","2023-01-04","0.16",",,N",,,,,,
"US1HIHI0057","NAALEHU 4.7 WSW, HI US","2023-01-05","0.17",",,N",,,,,,
"US1HIHI0057","NAALEHU 4.7 WSW, HI US","2023-01-06","0.36",",,N",,,,,,
"US1HIHI0057","NAALEHU 4.7 WSW, HI US","2023-01-07","0.03",",,N",,,,,,
"US1HIHI0057","NAALEHU 4.7 WSW, HI US","2023-01-08","0.00","T,,N",,,,,,
"US1HIHI0057","NAALEHU 4.7 WSW, HI US","2023-01-10","0.00",",,N",,,,,,
"US1HIHI0057","NAALEHU 4.7 WSW, HI US","2023-01-13","0.00",",,N",,,,,,
"US1HIHI0057","NAALEHU 4.7 WSW, HI US","2023-01-14","0.00",",,N",,,,,,
"US1HIHI0057","NAALEHU 4.7 WSW, HI US","2023-01-15","0.02",",,N",,,,,,
"US1HIHI0057","NAALEHU 4.7 WSW, HI US","2023-01-16","0.12",",,N",,,,,,
"US1HIHI0057","NAALEHU 4.7 WSW, HI US","2023-01-17","0.10",",,N",,,,,,
"US1HIHI0057","NAALEHU 4.7 WSW, HI US","2023-01-18","0.09",",,N",,,,,,
"US1HIHI0057","NAALEHU 4.7 WSW, HI US","2023-01-19","0.24",",,N",,,,,,
"US1HIHI0057","NAALEHU 4.7 WSW, HI US","2023-01-20","0.02",",,N",,,,,,
"US1HIHI0057","NAALEHU 4.7 WSW, HI US","2023-01-21","0.00",",,N",,,,,,
"US1HIHI0057","NAALEHU 4.7 WSW, HI US","2023-01-23","0.00",",,N",,,,,,
"US1HIHI0057","NAALEHU 4.7 WSW, HI US","2023-01-24","0.14",",,N",,,,,,
"US1HIHI0057","NAALEHU 4.7 WSW, HI US","2023-01-26","0.00",",,N",,,,,,
"US1HIHI0057","NAALEHU 4.7 WSW, HI US","2023-01-27","0.00",",,N",,,,,,
"US1HIHI0057","NAALEHU 4.7 WSW, HI US","2023-01-28","0.43",",,N",,,,,,
"US1HIHI0057","NAALEHU 4.7 WSW, HI US","2023-01-29","0.02",",,N",,,,,,
"US1HIHI0057","NAALEHU 4.7 WSW, HI US","2023-01-30","0.22",",,N",,,,,,
"US1HIHI0057","NAALEHU 4.7 WSW, HI US","2023-01-31","0.93",",,N",,,,,,
"US1HIHI0057","NAALEHU 4.7 WSW, HI US","2023-02-01","0.85",",,N",,,,,,
